student_id,听课质量评级,是否隐性逃课
pjxyqwbj616,一般,否
pjxyqxbj643,一般,否
pjxyqxbj334,游离,否
pjxyqxbj594,一般,否
pjxyqxbk428,一般,否
pjxyqxbj272,一般,否
pjxsqxbj764,游离,是
pjxyqxbk107,一般,否
pjxyqxbj701,游离,是
pjxyqwbk519,一般,否
pjxyqxbk204,一般,否
pjxyqwbj865,游离,是
pjxyqxbj146,一般,否
pjxuzsfj980,一般,否
pjxyqxbk872,一般,否
pjxyqxbk597,一般,否
pjxyqxbj374,游离,否
pjxyqxbk583,一般,否
pjxuqwbj526,沉浸,否
pjxyqwbj579,游离,否
pjxwxxbj953,游离,是
pjxyqxbl910,一般,否
pjxxxxbj917,游离,是
pjxyqwbj282,一般,否
pjxyqxbk211,一般,否
pjxrqxbj914,游离,是
pjxuqwbj928,游离,否
pjxyqxbk484,游离,是
pjxyqwbj362,一般,否
pjxxxxbj901,游离,是
pjxsqxbj877,游离,否
pjxuqwbj674,沉浸,否
pjxyqxbj096,一般,否
pjxsqxbj920,游离,否
pjxyqxbj762,一般,否
pjxuqwbj708,游离,否
pjxyqxbj131,一般,否
pjxyqwbj617,游离,否
pjxuqwbj572,沉浸,否
pjxyqwbj764,一般,否
pjxyqxbl763,游离,否
pjxyqwbj628,游离,否
pjxyqwbj625,游离,否
pjxwzxfj984,一般,否
pjxyqxbj485,一般,否
pjxyqxbk349,一般,否
pjxuqwbj641,沉浸,否
pjxyqxbk210,一般,否
pjxrqxbj891,游离,是
pjxyqwbj109,一般,否
pjxyqwbk885,一般,否
pjxyqwbk581,游离,否
pjxyqwbj004,游离,否
pjxxxxbj915,游离,是
pjxyqxbj074,一般,否
pjxuzsfj978,一般,否
pjxyqxbk679,一般,否
pjxsqxbj996,游离,是
pjxyqwbk603,一般,否
pjxyqwbj043,一般,否
pjxyqwbk807,游离,否
pjxyqxbk868,游离,是
pjxyqxbk954,一般,否
pjxxxxbj988,游离,是
pjxtzxfj986,一般,否
pjxyqxbk631,游离,否
pjxyqxbj629,一般,否
pjxyqxbk787,一般,否
pjxsqxbj884,游离,否
pjxyqxbl927,游离,否
pjvyzvfj994,一般,否
pjxsqxbj949,游离,是
pjxpqxbj915,沉浸,否
pjxyqwbk656,一般,否
pjxyqxbj648,一般,否
pjxyqxbj867,游离,否
pjxsqxbj780,游离,否
pjxyqxbk516,游离,否
pjxyqxbl904,一般,否
pjxrqxbj919,游离,是
pjxrqxbj988,游离,是
pjxyqxbj585,游离,否
pjwrqxbj920,游离,是
pjxyqxbj093,一般,否
pjxuqwbj914,一般,否
pjxyqwbj642,游离,是
pjxyqxbk230,游离,是
pjwrqxbj945,游离,是
pjxyqxbl817,游离,否
pjxyqwbj630,一般,否
pjxuqwbj638,沉浸,否
pjxyqwbj895,游离,是
pjwtqxbj939,游离,否
pjxuqwbj870,游离,否
pjxyqxbj846,游离,否
pjwtqxbj972,游离,是
pjxyqxbk836,一般,否
pjxyqxbj578,一般,否
pjxyqxbj319,游离,是
pjxyqxbk751,一般,否
pjxyqxbk388,游离,否
pjxwzxfj991,一般,否
pjxyqwbj339,一般,否
pjxyqxbj985,游离,否
pjxyqxbl779,游离,是
pjxuqwbj933,游离,否
pjxyqxbj743,一般,否
pjxyqxbj968,一般,否
pjxyqxbj293,游离,是
pjxyqwbj385,一般,否
pjxyqxbk158,一般,否
pjxyqxbj929,游离,是
pjxyqxbj474,一般,否
pjxsqxbj824,游离,否
pjxyqxbk822,一般,否
pjxyqxbj460,游离,否
pjxyqwbj403,一般,否
pjxyqxbj569,一般,否
pjxwzxkj991,一般,否
pjxyqxbj728,一般,否
pjxyqxbj068,游离,是
pjxyqwbk964,游离,否
pjxyqwbj850,一般,否
pjxyqwbj454,游离,是
pjxyqxbj889,一般,否
pjxsqxbj849,游离,是
pjxuqwbj800,游离,是
pjwrqxbj956,游离,是
pjxyqwbj087,游离,是
pjxyqwbk577,一般,否
pjxuqwbj610,游离,否
pjxqqxbj949,沉浸,否
pjwtqxbj935,游离,否
pjxrqxbj909,游离,是
pjxwzxbj990,一般,否
pjxyqxbk980,一般,否
pjxyqxbl703,一般,否
pjxrqxbj943,沉浸,否
pjxwxxbj916,游离,否
pjxyqxbj089,游离,否
pjxxztbj994,一般,否
pjxyqwbj078,游离,是
pjxyqwbk796,游离,是
